time,Open,High,Low,Close
2018.11.07 08-20-00,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-05,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-10,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-20-15,6519.5,6520.0,6519.5,6520.0
2018.11.07 08-20-20,6520.0,6519.5,6519.5,6519.5
2018.11.07 08-20-25,6519.5,6520.0,6519.5,6520.0
2018.11.07 08-20-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-50,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-20-55,6520.0,6520.0,6519.5,6520.0
2018.11.07 08-21-00,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-10,6520.0,6520.0,6519.5,6520.0
2018.11.07 08-21-15,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-20,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-25,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-21-50,6520.0,6520.5,6520.5,6520.5
2018.11.07 08-21-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-00,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-22-05,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-22-10,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-20,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-22-25,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-22-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-22-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-00,6520.5,6520.0,6520.0,6520.0
2018.11.07 08-23-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-23-10,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-23-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-20,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-25,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-23-30,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-23-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-23-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-00,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-24-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-24-10,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-24-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-20,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-25,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-24-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-00,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-05,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-25-10,6520.5,6520.5,6520.0,6520.5
2018.11.07 08-25-15,6520.5,6520.0,6520.0,6520.0
2018.11.07 08-25-20,6520.0,6520.5,6520.5,6520.0
2018.11.07 08-25-25,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-30,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-35,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-40,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-45,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-25-50,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-25-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-00,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-05,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-10,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-20,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-26-25,6520.0,6520.5,6520.5,6520.5
2018.11.07 08-26-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-40,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-45,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-50,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-26-55,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-27-00,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-27-05,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-27-10,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-27-15,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-27-20,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-27-25,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-27-30,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-27-35,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-27-40,6520.5,6520.5,6520.0,6520.5
2018.11.07 08-27-45,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-27-50,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-27-55,6520.0,6520.5,6520.5,6520.0
2018.11.07 08-28-00,6520.0,6520.5,6520.0,6520.5
2018.11.07 08-28-05,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-28-10,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-28-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-28-20,6520.5,6521.5,6520.5,6521.5
2018.11.07 08-28-25,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-28-30,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-28-35,6521.5,6523.0,6521.5,6523.0
2018.11.07 08-28-40,6523.0,6523.0,6523.0,6523.0
2018.11.07 08-28-45,6523.0,6523.5,6523.0,6523.5
2018.11.07 08-28-50,6523.5,6524.0,6523.5,6524.0
2018.11.07 08-28-55,6524.0,6524.0,6524.0,6524.0
2018.11.07 08-29-00,6524.0,6526.0,6524.0,6526.0
2018.11.07 08-29-05,6526.0,6526.0,6525.5,6525.5
2018.11.07 08-29-10,6525.5,6526.0,6525.5,6526.0
2018.11.07 08-29-15,6526.0,6526.5,6526.0,6526.5
2018.11.07 08-29-20,6526.5,6526.5,6526.5,6526.0
2018.11.07 08-29-25,6526.0,6526.5,6526.0,6526.5
2018.11.07 08-29-30,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-29-35,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-29-40,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-29-45,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-29-50,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-29-55,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-30-00,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-30-05,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-30-10,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-30-15,6526.5,6526.5,6526.5,6526.0
2018.11.07 08-30-20,6526.0,6526.0,6526.0,6526.0
2018.11.07 08-30-25,6526.0,6526.5,6526.0,6526.0
2018.11.07 08-30-30,6526.0,6526.0,6526.0,6526.0
2018.11.07 08-30-35,6526.0,6526.5,6526.0,6526.5
2018.11.07 08-30-40,6526.5,6526.5,6526.5,6526.0
2018.11.07 08-30-45,6526.0,6526.5,6526.0,6526.5
2018.11.07 08-30-50,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-30-55,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-00,6526.5,6526.5,6526.5,6526.0
2018.11.07 08-31-05,6526.0,6526.5,6526.5,6526.5
2018.11.07 08-31-10,6526.5,6526.5,6526.5,6526.0
2018.11.07 08-31-15,6526.0,6526.0,6526.0,6526.0
2018.11.07 08-31-20,6526.0,6526.5,6526.5,6526.5
2018.11.07 08-31-25,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-30,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-35,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-40,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-45,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-50,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-31-55,6526.5,6526.5,6526.5,6526.5
2018.11.07 08-32-00,6526.5,6527.0,6526.5,6527.0
2018.11.07 08-32-05,6527.0,6527.5,6527.0,6527.5
2018.11.07 08-32-10,6527.5,6528.0,6527.5,6528.0
2018.11.07 08-32-15,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-32-20,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-32-25,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-32-30,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-32-35,6528.0,6527.5,6527.5,6527.5
2018.11.07 08-32-40,6527.5,6528.0,6527.5,6528.0
2018.11.07 08-32-45,6528.0,6528.0,6527.5,6528.0
2018.11.07 08-32-50,6528.0,6528.0,6527.5,6528.0
2018.11.07 08-32-55,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-33-00,6528.0,6528.5,6528.0,6528.5
2018.11.07 08-33-05,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-33-10,6528.0,6528.5,6528.0,6528.5
2018.11.07 08-33-15,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-33-20,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-33-25,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-33-30,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-33-35,6528.0,6528.5,6528.0,6528.5
2018.11.07 08-33-40,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-33-45,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-33-50,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-33-55,6528.0,6528.5,6528.0,6528.5
2018.11.07 08-34-00,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-34-05,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-34-10,6528.0,6528.5,6528.5,6528.5
2018.11.07 08-34-15,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-34-20,6528.0,6528.5,6528.0,6528.5
2018.11.07 08-34-25,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-34-30,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-34-35,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-34-40,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-34-45,6528.0,6528.5,6528.5,6528.5
2018.11.07 08-34-50,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-34-55,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-35-00,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-35-05,6528.0,6528.5,6528.0,6528.0
2018.11.07 08-35-10,6528.0,6529.0,6528.5,6529.0
2018.11.07 08-35-15,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-35-20,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-35-25,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-35-30,6529.0,6529.0,6529.0,6529.0
2018.11.07 08-35-35,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-35-40,6529.0,6529.0,6529.0,6529.0
2018.11.07 08-35-45,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-35-50,6529.0,6529.0,6529.0,6529.0
2018.11.07 08-35-55,6529.0,6529.0,6528.5,6529.0
2018.11.07 08-36-00,6529.0,6529.0,6528.5,6528.5
2018.11.07 08-36-05,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-10,6528.5,6529.0,6528.5,6528.5
2018.11.07 08-36-15,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-20,6528.5,6529.0,6528.5,6528.5
2018.11.07 08-36-25,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-30,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-35,6528.5,6529.0,6528.5,6529.0
2018.11.07 08-36-40,6529.0,6528.5,6528.5,6528.5
2018.11.07 08-36-45,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-50,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-36-55,6528.5,6528.5,6528.5,6528.5
2018.11.07 08-37-00,6528.5,6528.5,6528.5,6528.0
2018.11.07 08-37-05,6528.0,6528.0,6528.0,6528.0
2018.11.07 08-37-10,6528.0,6528.0,6525.0,6525.0
2018.11.07 08-37-15,6525.0,6525.0,6524.5,6524.5
2018.11.07 08-37-20,6524.5,6524.5,6524.5,6524.5
2018.11.07 08-37-25,6524.5,6524.5,6524.5,6524.5
2018.11.07 08-37-30,6524.5,6524.5,6524.5,6524.5
2018.11.07 08-37-35,6524.5,6524.5,6524.5,6524.5
2018.11.07 08-37-40,6524.5,6525.0,6524.5,6525.0
2018.11.07 08-37-45,6525.0,6524.5,6524.5,6524.5
2018.11.07 08-37-50,6524.5,6525.0,6524.5,6525.0
2018.11.07 08-37-55,6525.0,6524.5,6524.5,6524.5
2018.11.07 08-38-00,6524.5,6525.0,6524.5,6524.5
2018.11.07 08-38-05,6524.5,6525.0,6524.5,6524.5
2018.11.07 08-38-10,6524.5,6525.0,6524.5,6524.5
2018.11.07 08-38-15,6524.5,6524.5,6523.5,6523.5
2018.11.07 08-38-20,6523.5,6523.5,6523.5,6523.5
2018.11.07 08-38-25,6523.5,6523.5,6522.0,6522.0
2018.11.07 08-38-30,6522.0,6522.0,6521.5,6521.5
2018.11.07 08-38-35,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-38-40,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-38-45,6521.5,6522.0,6521.5,6522.0
2018.11.07 08-38-50,6522.0,6522.0,6521.5,6521.5
2018.11.07 08-38-55,6521.5,6522.0,6521.5,6522.0
2018.11.07 08-39-00,6522.0,6522.0,6521.5,6522.0
2018.11.07 08-39-05,6522.0,6522.0,6521.5,6521.5
2018.11.07 08-39-10,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-15,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-20,6521.5,6522.0,6521.5,6522.0
2018.11.07 08-39-25,6522.0,6522.0,6521.5,6521.5
2018.11.07 08-39-30,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-35,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-40,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-45,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-50,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-39-55,6521.5,6522.0,6521.5,6521.5
2018.11.07 08-40-00,6521.5,6522.0,6521.5,6521.5
2018.11.07 08-40-05,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-10,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-15,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-20,6521.5,6522.0,6521.5,6522.0
2018.11.07 08-40-25,6522.0,6522.0,6521.5,6521.5
2018.11.07 08-40-30,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-35,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-40,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-45,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-50,6521.5,6521.5,6521.5,6521.5
2018.11.07 08-40-55,6521.5,6521.5,6521.5,6521.0
2018.11.07 08-41-00,6521.0,6521.0,6520.5,6520.5
2018.11.07 08-41-05,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-41-10,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-41-15,6520.5,6520.5,6520.5,6520.5
2018.11.07 08-41-20,6520.5,6520.5,6520.5,6520.0
2018.11.07 08-41-25,6520.0,6520.0,6520.0,6520.0
2018.11.07 08-41-30,6520.0,6520.0,6519.0,6519.5
2018.11.07 08-41-35,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-41-40,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-41-45,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-41-50,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-41-55,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-42-00,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-42-05,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-42-10,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-42-15,6519.5,6519.0,6519.0,6519.0
2018.11.07 08-42-20,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-42-25,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-42-30,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-42-35,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-42-40,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-42-45,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-42-50,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-42-55,6519.0,6519.5,6519.5,6519.0
2018.11.07 08-43-00,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-05,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-43-10,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-43-15,6519.5,6519.0,6519.0,6519.0
2018.11.07 08-43-20,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-30,6519.0,6519.5,6519.5,6519.0
2018.11.07 08-43-35,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-43-40,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-45,6519.5,6519.0,6519.0,6519.0
2018.11.07 08-43-50,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-43-55,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-44-00,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-44-05,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-10,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-15,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-20,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-44-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-30,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-44-35,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-44-40,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-45,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-50,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-44-55,6519.0,6519.5,6519.0,6519.5
2018.11.07 08-45-00,6519.5,6519.5,6519.5,6519.5
2018.11.07 08-45-05,6519.5,6519.5,6519.5,6519.0
2018.11.07 08-45-10,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-15,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-20,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-25,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-30,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-35,6519.0,6519.5,6519.0,6519.0
2018.11.07 08-45-40,6519.0,6519.0,6519.0,6519.0
2018.11.07 08-45-45,6519.0,6519.0,6518.5,6518.5
2018.11.07 08-45-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-45-55,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-00,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-05,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-10,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-46-25,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-46-30,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-35,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-40,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-45,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-50,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-46-55,6518.0,6518.5,6518.5,6518.0
2018.11.07 08-47-00,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-05,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-10,6518.0,6518.0,6518.0,6518.0
2018.11.07 08-47-15,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-47-25,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-47-30,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-35,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-40,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-45,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-47-50,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-47-55,6518.0,6518.5,6518.5,6518.0
2018.11.07 08-48-00,6518.0,6518.5,6518.0,6518.5
2018.11.07 08-48-05,6518.5,6518.5,6518.0,6518.5
2018.11.07 08-48-10,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-25,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-30,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-35,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-40,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-45,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-48-55,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-00,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-05,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-49-10,6518.0,6518.5,6518.0,6518.5
2018.11.07 08-49-15,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-20,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-25,6518.5,6518.5,6518.0,6518.5
2018.11.07 08-49-30,6518.5,6518.5,6518.5,6518.0
2018.11.07 08-49-35,6518.0,6518.5,6518.5,6518.5
2018.11.07 08-49-40,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-45,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-50,6518.5,6518.5,6518.5,6518.5
2018.11.07 08-49-55,6518.5,6518.5,6518.5,6518.5
